安徽频道,#genre#
    春晚2022,https://alimov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
    
春晚2024,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8 
2025年春晚,https://res.cctvnews.cctv.com/video/3005/record/cctv/merge1/133396667284143308839013005/8fbd6180bdef4da19f6155cf6b4652e1-4.m3u8


直播中国风景,#genre#
广东车八岭国家自然保护区,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8
青岛艾山天文台,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
北京密云古北水镇,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8
承德金山岭长城,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
承德塞罕坝,https://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8
沧州南大满仓湿地1,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
沧州南大满仓湿2,https://gcalic.v.myalicdn.com/gc/ztn_1/index.m3u8
沧州运河公园,https://gcalic.v.myalicdn.com/gc/ljgcdyhxgjt_1/index.m3u8
沧州南川老街,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
秦皇岛金梦海湾,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8
秦皇岛老龙头景区,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8
